5.72E+17,RT @colonelkickhead: Another bloody instant restaurant week?!?! Seriously! They just jumped the shark riding two other sharks powered by sh…,none
5.61E+17,@azzamalirhabi @JihadiA8 This video of the Peshmerga decimating ISIS is far more interesting. https://t.co/d36g1z12NP,none
5.76E+17,Oh really? No more instant restaurants? THAT'S SHOCKING. #MKR #MKR2015,none
5.52E+17,RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f…,none
5.63E+17,"RT @NoToFeminism: I don’t need femisnsn because men carry heavy things that i cannot!!! like shopping, boxes, and a huge sense of superiori…",none
5.63E+17,@MariachiMacabre 19% is not the vast majority,none
5.72E+17,"@DianH4 @ExposeFalsehood And it is Muslims who were the first crusaders, attacking the Christian world for centuries before it attacked back",M
5.67E+17,@truaemusic @mattybboi83 @Number10gov Capital Hill is a great example of how seldom the world attacks Islam given the daily provocations.,H
5.65E+17,RT @fruitondabottom: #FeminismisEQUALITYwhen Men are actually listened to and part of the dialog. #HeForShe #WomenAgainstFeminism http://t.…,L
5.63E+17,"Gather round, kids. It's story time, brought to you by my good friend @jcmanous.",none
5.71E+17,Did you hear that? That's the sound of a bunch of women in tech setting up filters to fwd emails from @ninaburleigh to /dev/null. Good job.,none
5.60E+17,@jobbers7 And western feminists are silent.,none
5.72E+17,@NedGilmore you were the rogue? I don't usually wpvp when I'm questing :),none
5.61E+17,".@GRIMACHU Sounds a bit too much like ""separate but equal"". It's sexism, bias, bigotry, you name it. @MoJGovUK is clearly infested w bigots.",H
5.66E+17,RT @triggerasaurus: I disagree with .@wadhwa but #stopwadhwa2015 makes me wonder if he's not an easy target for being an immigrant.Lesson: …,none
5.72E+17,hot damn that checkout guy at coles tho 👌👌 #mkr,none
5.67E+17,Still the best website on the internet: http://t.co/IiibIFWNuW #stopwadhwa2015,none
5.59E+17,@LifeInKhilafah You are right. The violent murdering Muslims are the only ones who understand the meaning of their religion.,H
5.71E+17,@ChrisWarcraft @alexlifschitz prove it. WHERE IS THE PROOF???,none
5.71E+17,@PeerWorker uh. because one group is literally killing people? are you nuts?,none
5.67E+17,@BrentonPoke yes,none
5.74E+17,@BenKuchera I SAW YOUR FACE,none
5.09E+17,"RT @TheBigKahuna12 I'm not sexist, but I'm just not a fan of all these women rappers.",M
5.63E+17,The lack of self-awareness from @wadhwa right now is staggering and hilarious. #stopwadhwa2015,none
5.72E+17,well ya standards are pretty low bitch #MKR,M
5.38E+17,"@grexican Yes, because the evo psych DIFFERENCE!! brigade is the tiniest of minorities.",none
5.59E+17,@wammezz It's used because the uranium allows the 30mm rounds to penetrate tank armor. So give them another material that will do the same.,none
5.74E+17,"I do have to go get us an actual business address soon so we can finish with the paperwork to get 501c3 status, so it is all temporary. :)",none
4.99E+17,"RT @Witchsistah: The Entire History of Anti-Racism, from My Birth To Now #TimWiseBookClub",none
5.72E+17,RT @NewIdeamagazine: The moment of truth... Did the girls deliver on their promises? #mkr,none
5.72E+17,What in the fuck is a promo model anyway? #mkr,none
5.71E+17,"@GavinRamblesOn what this person has done is not just voiced an opinion. i'm not going to get a pile-on going, so i'm not giving specifics.",none
5.14E+17,"RT @notallmikaylas: My feminist praxis makes relationships &amp; friendships &amp; history classes hard as hell,but I dont want to be comfortable i…",none
5.71E+17,@Litazia yup,none
5.76E+17,#MKR Stuff that - just buy the dam tortillas and make the breakfast absolutely delicious. Not points for making your own in my eyes.,none
4.33E+17,"@femfreq is like the most measured, evidence-based feminist lens with which to view video games and yet to them RADICAL FEMINIST HARPY!",none
5.55E+17,@Pyrrha108 I agree. He is just like the prophet Mohammed.,L
5.63E+17,Look what I have. http://t.co/BFIFPeVTdM,none
5.72E+17,I just want to see people who can cook. Not the worst of the worst cook badly again #MKR,none
5.72E+17,How's this for sassy? From #voguecafe @MacquarieCentre But if I hear that word again I'll throw a shoe at the tv #mkr http://t.co/RJ56iwjy2x,none
5.66E+17,@discerningmumin Hamas was elected once and have not had elections since.They have skipped many elections. Mursi was going in same direction,M
5.76E+17,"RT @ash_p_ash: Camilla is far too ""Picnic at Hanging Rock"" for my liking #mkr #irma http://t.co/O8PzmNQlwW",none
5.76E+17,Kat and Andre are the sort of people who would look forward to funerals knowing they will be getting a free feed afterwards. #MKR,none
5.76E+17,Pete Evans the Paleo Capitalist has had his cookbook pulled http://t.co/VubeLWZ9l9 #mkr,none
5.23E+17,RT @travisnashh: @YesYoureSexist because you hate a group doesn't make you sexist dumbass,M
5.69E+17,"RT @sara771987: @MT8_9 @ReneeRox74 ""climb your beanstalk back to hell"" http://t.co/7WptuUQdUp",H
4.51E+17,"Pretty sure the number of holes is constant @ashleekelts ""this road has more holes in it than a whore has on a saturday night."" -kaylies dad",H
5.71E+17,"For everyone that is involved in this space, there's a huge personal risk. People get targeted. Friends and family get targeted.",none
5.64E+17,@OneLegSandpiper @DblBlackDs Do you think that this guy lost his job. Hell no. http://t.co/6iSMchnlGm,none
5.76E+17,RT @mykitchenrules: When Manu tries to steal your pork crackling... #mkr http://t.co/z9HxMQHj6J,none
5.71E+17,@cericneesh there's a white/black option.,none
5.76E+17,Don't mind looking at Collin for the whole #mkr season 😍😍,M
5.55E+17,@IAmThe1Teacher You are too far off the deep end. Good night.,none
4.51E+17,"Maybe she'll have cleats on. @tbowditch12 Call me racist, call me sexist, but every time Olivia Chow talks in this debate, I wanna slap her.",H
5.76E+17,Say what you will about the #PromoGirls but their apple pie does sound kick-ass. #MKR,none
5.77E+17,"@samred just users, doesn't do text parsing. i know article is a bit old, but wanted to throw that out there. :)",none
5.46E+17,@callum_s19 Doing nothing does require an inordinate amount of skill,L
4.20E+17,"RT @ahall012 If you are a women,and this is no sexist comment directly, and we are watching football just don't talk unless my team scores",H
5.76E+17,"Kernighan, thrall, riker, or Nimoy?",none
5.76E+17,"@roisin_morgan Then you are a total idiot, because Muslims are killing people around the globe. They are at war with every religion on earth",H
5.75E+17,@PavNarm @Rubiconski @AdnanSadiq01 She thought the color highlighted her eyes.,none
5.71E+17,@DianH4 So we bombed Hitler and various dictators because they refused to be slaves? Muslims need to get a grip on reality.,H
